ID,Yield,TestWt,FDK,DON,StripeRust
SC026,64.78789017,54.24331155,NA,NA,0.952996795
SC027,61.65020698,54.69778756,NA,NA,0.952996795
SC028,68.90494695,56.28781912,NA,NA,0.952996795
GA141,70.55346843,58.73741533,NA,NA,0.963799714
TX005,65.93026466,55.8615261,NA,NA,0.986371294
GA123,74.72335861,58.92369701,NA,NA,1.010913519
VA023,76.61344411,57.31408313,NA,NA,1.018764294
AR103,72.04294281,57.31635586,NA,NA,1.018764294
FL030,75.68144811,57.39330325,NA,NA,1.018764294
LA122,69.59652859,58.16020366,NA,NA,1.018764294
MD004,77.12560828,55.48604682,NA,NA,1.018764294
MD005,76.2871334,56.0312042,NA,NA,1.018764294
MD007,67.82965733,58.2568151,NA,NA,1.018764294
MD008,77.05835539,55.46623138,NA,NA,1.018764294
MD009,64.82423396,56.97520513,NA,NA,1.018764294
LA103,71.54840489,57.74381541,NA,NA,1.029479074
AR104,71.81147165,57.82839057,NA,NA,1.034710929
TX024,71.0655768,56.59505724,NA,NA,1.034710929
FL010,70.08453085,59.86206404,NA,NA,1.039412097
AR002,67.04115685,58.93225483,NA,NA,1.06530482
AR082,66.73419817,59.18783448,NA,NA,1.06530482
SC004,80.48007594,60.95696356,NA,NA,1.103095634
TX026,77.10805976,58.53429107,NA,NA,1.138190521
GA069,66.96517825,57.21380823,NA,NA,1.140021452
VA140,62.99597589,56.60187463,NA,NA,1.149292675
LA134,76.93621853,58.1137675,NA,NA,1.158305127
SC038,73.69381319,57.83376649,NA,NA,1.158305127
MD038,55.48982126,55.1646143,NA,NA,1.158305127
MD039,69.80028546,55.14879638,NA,NA,1.158305127
MD041,71.06675018,50.94139595,NA,NA,1.158305127
MD044,57.31597974,54.82472928,NA,NA,1.158305127
GA164,71.85140104,58.75476781,NA,NA,1.164885512
GA165,71.14043311,59.29233881,NA,NA,1.164885512
SC005,72.45398106,60.53674381,NA,NA,1.166779172
VA044,73.54281256,55.38817559,NA,NA,1.174683255
LA081,71.61735225,57.69679333,NA,NA,1.187808335
AR035,54.23882967,55.2459276,NA,NA,1.200576985
GA055,64.77520205,57.77897051,NA,NA,1.200576985
GA063,65.81018894,58.7266017,NA,NA,1.200576985
GA064,65.04899504,59.12014476,NA,NA,1.200576985
GA066,69.04012646,57.56448189,NA,NA,1.200576985
GA068,71.59999562,56.30469654,NA,NA,1.200576985
GA119,73.83563345,55.44971984,NA,NA,1.205789297
LA026,63.56908094,57.03031459,NA,NA,1.210631306
NC037,58.08324849,57.71311768,NA,NA,1.210631306
SC054,61.25323167,56.26255129,NA,NA,1.210631306
AR061,66.64665325,58.83420291,NA,NA,1.225319606
VA138,68.53821892,57.31310151,NA,NA,1.225319606
GA045,68.00751905,57.94729666,NA,NA,1.254040253
VA074,66.11916297,55.64679387,NA,NA,1.254040253
VA080,55.7496619,56.82205278,NA,NA,1.254040253
TX010,61.94779619,55.47305675,NA,NA,1.286128795
AR079,54.03966131,55.93552425,NA,NA,1.301815136
GA108,72.76733171,56.09181926,NA,NA,1.334105416
VA126,77.14897165,55.79505724,NA,NA,1.334105416
LA028,68.3206986,59.15640524,NA,NA,1.351636441
VA058,65.56548429,56.95548934,NA,NA,1.351636441
NC073,68.26739904,57.4992801,NA,NA,1.353193562
VA004,78.8908998,56.23637639,NA,NA,1.368725173
VA013,85.57896363,56.39499629,NA,NA,1.368725173
VA017,65.38026466,54.52653365,NA,NA,1.368725173
AR067,59.82565338,56.34452233,NA,NA,1.368725173
AR068,72.58452405,56.42536108,NA,NA,1.368725173
GA158,67.48052517,55.67334011,NA,NA,1.368725173
GA163,67.350382,57.39413608,NA,NA,1.368725173
LA119,74.07652836,56.65791044,NA,NA,1.368725173
LA126,60.18926045,55.14498448,NA,NA,1.368725173
LA129,76.88588151,56.08781107,NA,NA,1.368725173
TX003,66.28170172,58.40079387,NA,NA,1.370432224
VA142,64.75983815,54.47270323,NA,NA,1.376578309
LA124,69.31003115,58.02737287,NA,NA,1.379703448
NC109,71.24276962,58.90331581,NA,NA,1.413938682
GA003,65.02838446,58.70817454,NA,NA,1.421722593
AR022,57.74637815,55.90775601,NA,NA,1.452996795
LA059,65.90176502,57.66305269,NA,NA,1.452996795
NC047,61.05103125,57.90840625,NA,NA,1.452996795
NC050,60.97472059,57.06859588,NA,NA,1.452996795
NC054,61.7164707,58.14116509,NA,NA,1.452996795
FL018,71.29915347,59.86868431,NA,NA,1.477622219
GA027,64.2799525,57.64934329,NA,NA,1.496962928
LA096,70.17205579,58.43490796,NA,NA,1.502880554
GA122,68.77966607,58.49413294,NA,NA,1.509881869
MD006,76.11761342,56.45289914,NA,NA,1.518764294
SC042,65.05879982,54.91652523,NA,NA,1.524843059
NC065,62.22129746,57.80159047,NA,NA,1.533910319
NC068,61.22254101,59.00433036,NA,NA,1.533910319
FL022,64.76067383,57.07425959,NA,NA,1.54897579
VA040,56.53331524,55.46937101,NA,NA,1.588814994
GA125,67.40414463,57.60030687,NA,NA,1.592431941
GA168,67.33568073,59.11588681,NA,NA,1.603095634
GA030,58.70694661,57.95958671,NA,NA,1.637968063
SC047,59.05659447,54.13931677,NA,NA,1.637968063
GA031,65.62581571,57.75947826,NA,NA,1.642289414
VA045,81.20494521,54.32316666,NA,NA,1.674683255
AR041,69.19441142,58.55456102,NA,NA,1.711440167
GA104,71.09460039,57.25388763,NA,NA,1.745352799
AR102,59.57312969,54.65651368,NA,NA,1.778973198
GA038,56.78904866,56.22109552,NA,NA,1.778973198
AR081,55.70741956,56.83941888,NA,NA,1.801815136
LA024,53.12275124,57.09726339,NA,NA,1.801815136
NC024,59.67066644,55.53545672,NA,NA,1.801815136
GA136,70.08190321,56.85269791,NA,NA,1.816319572
AR044,64.66414073,54.27543352,NA,NA,1.825692298
NC029,55.9275173,56.7423995,NA,NA,1.865526186
NC063,54.85525302,56.68230611,NA,NA,1.867243652
AR039,63.66310165,57.30013019,NA,NA,1.90961068
GA052,62.65357464,56.03225483,NA,NA,1.924299685
VA049,64.41981434,54.70118518,NA,NA,1.949948004
AR021,59.62282548,56.3835262,NA,NA,1.952996795
